2022-11-29 10:37:57.183 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:57, duration: 30
2022-11-29 10:37:58.207 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:58, duration: 30
2022-11-29 10:37:59.238 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:59, duration: 30
2022-11-29 10:38:00.261 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:00, duration: 30
2022-11-29 10:38:01.346 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:01, duration: 30
2022-11-29 10:38:02.375 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:02, duration: 30
2022-11-29 10:38:02.375 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:38:02.375 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:03.411 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:03, duration: 30
2022-11-29 10:38:04.450 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:04, duration: 30
2022-11-29 10:38:05.485 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:05, duration: 30
2022-11-29 10:38:06.532 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:06, duration: 30
2022-11-29 10:38:07.571 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:07, duration: 30
2022-11-29 10:38:08.604 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:08, duration: 30
2022-11-29 10:38:09.639 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:09, duration: 30
2022-11-29 10:38:10.676 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:10, duration: 30
2022-11-29 10:38:11.703 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:11, duration: 30
2022-11-29 10:38:12.732 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:12, duration: 30
2022-11-29 10:38:13.769 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:13, duration: 30
2022-11-29 10:38:14.804 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:14, duration: 30
2022-11-29 10:38:15.838 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:15, duration: 30
2022-11-29 10:38:16.861 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:16, duration: 30
2022-11-29 10:38:17.937 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:17, duration: 30
2022-11-29 10:38:17.948 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:38:17.948 |  generate_data   | 0184 |   DEBUG   | dataList length: 474
2022-11-29 10:38:18.974 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:18, duration: 30
2022-11-29 10:38:19.998 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:19, duration: 30
2022-11-29 10:38:21.036 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:21, duration: 30
2022-11-29 10:38:22.076 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:22, duration: 30
2022-11-29 10:38:22.077 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:38:22.078 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:23.114 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:23, duration: 30
2022-11-29 10:38:23.115 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:38:23.116 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:24.150 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:24, duration: 30
2022-11-29 10:38:24.150 |  generate_data   | 0183 |   DEBUG   | index:470 datalength: 0
2022-11-29 10:38:24.150 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:38:25.182 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:38:25, duration: 30
